model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
Pyannote,176,IISc_VaaniProject_S_Bihar_Gaya_128223_12224569_BHGJFE_185461_44_11081,0.9011857707509882,1.0,0.9480249480249481,0.908675799086758,0.453551912568306,0.09881422924901186,0.0
FunASR,176,IISc_VaaniProject_S_Bihar_Gaya_128223_12224569_BHGJFE_185461_44_11081,0.8661567877629063,0.993421052631579,0.9254341164453525,0.8676337262012692,0.2670157068062827,0.1338432122370937,0.006578947368421052
Silero,176,IISc_VaaniProject_S_Bihar_Gaya_128223_12224569_BHGJFE_185461_44_11081,0.8814741035856574,0.9703947368421053,0.9237995824634656,0.8677536231884058,0.3802083333333333,0.11852589641434264,0.029605263157894735
SpeechBrain,176,IISc_VaaniProject_S_Bihar_Gaya_128223_12224569_BHGJFE_185461_44_11081,0.9178378378378378,0.930921052631579,0.9243331518780621,0.8715341959334566,0.5529411764705883,0.08216216216216216,0.06907894736842106
Pyannote,177,IISc_VaaniProject_S_Bihar_Gaya_128452_12605916_BHGJWAF_185450_45_6285,0.9983922829581994,0.9967897271268058,0.9975903614457832,0.9952076677316294,0.6666666666666666,0.001607717041800643,0.0032102728731942215
FunASR,177,IISc_VaaniProject_S_Bihar_Gaya_128452_12605916_BHGJWAF_185450_45_6285,0.9983922829581994,0.9967897271268058,0.9975903614457832,0.9952,0.5,0.001607717041800643,0.0032102728731942215
Silero,177,IISc_VaaniProject_S_Bihar_Gaya_128452_12605916_BHGJWAF_185450_45_6285,0.9983974358974359,1.0,0.9991980753809142,0.9984,0.5,0.0016025641025641025,0.0
SpeechBrain,177,IISc_VaaniProject_S_Bihar_Gaya_128452_12605916_BHGJWAF_185450_45_6285,1.0,0.9197431781701445,0.9581939799331104,0.92,1.0,0.0,0.08025682182985554
Pyannote,178,IISc_VaaniProject_S_Bihar_Gaya_128617_12584919_BHARS_135226_603_7254,0.8855421686746988,1.0,0.939297124600639,0.8862275449101796,0.05,0.1144578313253012,0.0
FunASR,178,IISc_VaaniProject_S_Bihar_Gaya_128617_12584919_BHARS_135226_603_7254,0.8838612368024132,0.9965986394557823,0.9368505195843325,0.8813813813813813,0.01282051282051282,0.11613876319758673,0.003401360544217687
Silero,178,IISc_VaaniProject_S_Bihar_Gaya_128617_12584919_BHARS_135226_603_7254,0.9060092449922958,1.0,0.9506871463217461,0.9084084084084084,0.21794871794871795,0.09399075500770417,0.0
SpeechBrain,178,IISc_VaaniProject_S_Bihar_Gaya_128617_12584919_BHARS_135226_603_7254,1.0,0.9608843537414966,0.9800520381613183,0.9654654654654654,1.0,0.0,0.0391156462585034
Pyannote,179,IISc_VaaniProject_S_Bihar_Gaya_129281_12221121_BHGJEC_186608_8_6061,0.7235099337748344,0.9931818181818182,0.8371647509578544,0.7203947368421053,0.005952380952380952,0.2764900662251656,0.006818181818181818
FunASR,179,IISc_VaaniProject_S_Bihar_Gaya_129281_12221121_BHGJEC_186608_8_6061,0.7296849087893864,1.0,0.8437200383509108,0.7301324503311258,0.006097560975609756,0.2703150912106136,0.0
Silero,179,IISc_VaaniProject_S_Bihar_Gaya_129281_12221121_BHGJEC_186608_8_6061,0.7394957983193278,1.0,0.8502415458937198,0.7442244224422442,0.06626506024096386,0.2605042016806723,0.0
SpeechBrain,179,IISc_VaaniProject_S_Bihar_Gaya_129281_12221121_BHGJEC_186608_8_6061,0.9600886917960089,0.9840909090909091,0.9719416386083053,0.9576988155668359,0.8807947019867549,0.03991130820399113,0.015909090909090907
Pyannote,180,IISc_VaaniProject_S_Bihar_Gaya_129367_12207350_CGBTFA_255511_12020_20950,0.9372197309417041,1.0,0.9675925925925926,0.9375,0.06666666666666667,0.06278026905829596,0.0
FunASR,180,IISc_VaaniProject_S_Bihar_Gaya_129367_12207350_CGBTFA_255511_12020_20950,0.936026936026936,0.9976076555023924,0.965836711059641,0.9340044742729307,0.017241379310344827,0.06397306397306397,0.0023923444976076554
